time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-04 00:00:00+00:00,1.0,1.0,1,1
2022-12-06 00:00:00+00:00,2.0,1.0,7,3
2022-12-07 00:00:00+00:00,4.0,2.0,7,2
2022-12-08 00:00:00+00:00,,,4,3
2022-12-09 00:00:00+00:00,,,2,2
2022-12-10 00:00:00+00:00,,,1,1
2022-12-11 00:00:00+00:00,,,3,1
2022-12-12 00:00:00+00:00,,,5,3
2022-12-13 00:00:00+00:00,2.0,1.0,8,2
2022-12-14 00:00:00+00:00,,,9,3
2022-12-15 00:00:00+00:00,,,15,5
2022-12-16 00:00:00+00:00,,,9,5
2022-12-17 00:00:00+00:00,,,8,4
