url_path,views_total,views_unique
/Infinity-Vault/Baze-podataka-II/tree/main/Vjezbe/Vjezbe_8,6,5
/Infinity-Vault/Baze-podataka-II,5,4
/Infinity-Vault/Baze-podataka-II/tree/main/Vjezbe,3,1
/Infinity-Vault/Baze-podataka-II/tree/main/Vjezbe/Vjezbe_12,3,1
/Infinity-Vault/Baze-podataka-II/tree/main/Vjezbe/Vjezbe_13,2,2
/Infinity-Vault/Baze-podataka-II/blob/main/Vjezbe/Vjezbe_12/Vjezbe_12.sql,2,1
/Infinity-Vault/Baze-podataka-II/blob/main/Ispiti/2022-06-22/Postavka.pdf,1,1
/Infinity-Vault/Baze-podataka-II/blob/main/Vjezbe/Vjezbe_13/Vjezbe_13.sql,1,1
/Infinity-Vault/Baze-podataka-II/edit/main/Vjezbe/Vjezbe_12/Vjezbe_12.sql,1,1
/Infinity-Vault/Baze-podataka-II/tree/main/Ispiti,1,1
