time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-26 00:00:00+00:00,,,168.0,17.0
2023-01-27 00:00:00+00:00,,,56.0,7.0
2023-01-28 00:00:00+00:00,,,5.0,4.0
2023-01-29 00:00:00+00:00,,,3.0,1.0
2023-01-30 00:00:00+00:00,,,3.0,3.0
2023-01-31 00:00:00+00:00,,,16.0,2.0
2023-02-01 00:00:00+00:00,,,1.0,1.0
2023-02-02 00:00:00+00:00,1.0,1.0,,
2023-02-05 00:00:00+00:00,,,3.0,2.0
2023-02-06 00:00:00+00:00,,,7.0,3.0
2023-02-07 00:00:00+00:00,,,15.0,1.0
2023-02-08 00:00:00+00:00,,,32.0,4.0
