url_path,views_total,views_unique
/Infinity-Vault/Baze-podataka-I,10,6
/Infinity-Vault/Baze-podataka-I/blob/main/Samoevaulacije%202021-22/Druga%20samoevaluacija/BPI_drugi_online_test.pdf,7,3
/Infinity-Vault/Baze-podataka-I/tree/main/Samoevaulacije%202021-22,6,5
/Infinity-Vault/Baze-podataka-I/tree/main/Ispitni%20zadaci,5,5
/Infinity-Vault/Baze-podataka-I/tree/main/Samoevaulacije%202021-22/Druga%20samoevaluacija,5,3
/Infinity-Vault/Baze-podataka-I/tree/main/Ispitni%20zadaci/2022-02-23,4,3
/Infinity-Vault/Baze-podataka-I/blob/main/Samoevaulacije%202021-22/Druga%20samoevaluacija/BPI_drugi_online_test_rjesenje.accdb,4,2
/Infinity-Vault/Baze-podataka-I/tree/main/Ispitni%20zadaci/2022-02-23/Postavka,3,3
/Infinity-Vault/Baze-podataka-I/tree/main/Ispitni%20zadaci/2022-02-23/Rjesenje,3,3
/Infinity-Vault/Baze-podataka-I/blob/main/Ispitni%20zadaci/2022-02-23/Postavka/prakticni_ispit%2023FEB22.pdf,2,2
