time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-20 00:00:00+00:00,,,21,3
2023-01-21 00:00:00+00:00,,,71,3
2023-01-22 00:00:00+00:00,,,6,1
2023-01-23 00:00:00+00:00,,,10,3
2023-01-24 00:00:00+00:00,,,10,3
2023-01-25 00:00:00+00:00,,,20,3
2023-01-26 00:00:00+00:00,,,63,4
2023-01-27 00:00:00+00:00,,,29,3
2023-01-28 00:00:00+00:00,,,91,8
2023-01-29 00:00:00+00:00,,,170,11
2023-01-30 00:00:00+00:00,1.0,1.0,84,5
2023-01-31 00:00:00+00:00,1.0,1.0,25,5
2023-02-01 00:00:00+00:00,,,19,3
2023-02-02 00:00:00+00:00,1.0,1.0,2,1
