time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-17 00:00:00+00:00,,,3,3
2022-11-18 00:00:00+00:00,,,14,1
2022-11-21 00:00:00+00:00,,,8,3
2022-11-22 00:00:00+00:00,,,1,1
2022-11-23 00:00:00+00:00,,,8,3
2022-11-25 00:00:00+00:00,,,3,3
2022-11-26 00:00:00+00:00,,,2,1
2022-11-27 00:00:00+00:00,,,2,2
2022-11-28 00:00:00+00:00,,,2,2
2022-11-29 00:00:00+00:00,,,4,3
